Date,Campaign_Name,Channel,Region,Product,Impressions,Clicks,Spend,Revenue,Conversions
2024-02-01,Launch 2025,Email,EMEA,Service Y,182002,9662,16534.84,164250.84,915
2024-02-02,Holiday Push,TV,APAC,Product B,26491,820,1845.83,12959.02,46
2024-02-03,Summer Sale,Google Ads,LATAM,Service Y,74629,2223,5591.0,8899.43,82
2024-02-04,Brand Awareness,Google Ads,US,Product C,152585,9125,6568.01,25072.13,266
2024-02-05,Launch 2025,Google Ads,MEA,Product C,79707,1425,4276.76,19892.06,104
2024-02-06,Launch 2025,Facebook,APAC,Product C,178903,2715,8509.84,24489.88,91
2024-02-07,Launch 2025,YouTube,APAC,Product A,163552,3357,5131.65,62374.56,241
2024-02-08,Holiday Push,TV,APAC,Product B,29195,1217,3636.45,1814.33,16
2024-02-09,Holiday Push,Email,EMEA,Product C,199309,6396,16738.35,19811.33,386
2024-02-10,Summer Sale,Instagram,US,Product B,157701,5933,10616.27,9890.3,81
2024-02-11,Launch 2025,TV,US,Product B,179832,2722,7731.43,32509.92,243
2024-02-12,Brand Awareness,Display,LATAM,Product B,47598,2799,8207.55,6735.05,250
2024-02-13,Retargeting Q3,Facebook,US,Service X,74941,1345,3502.16,1819.73,59
2024-02-14,Holiday Push,YouTube,APAC,Product C,96660,2441,7044.82,1970.33,74
2024-02-15,Launch 2025,Instagram,EMEA,Product A,23198,1353,1809.47,12003.81,91
2024-02-16,Retargeting Q3,Instagram,APAC,Service X,73475,1390,4708.77,2366.58,47
2024-02-17,Summer Sale,TV,LATAM,Product A,163914,9705,8219.53,64581.85,882
2024-02-18,Holiday Push,Instagram,LATAM,Product A,141293,7951,16819.2,135281.14,594
2024-02-19,Brand Awareness,Email,APAC,Service X,179125,10037,23782.33,38371.67,699
2024-02-20,Retargeting Q3,TV,US,Service Y,90506,2726,3780.87,7988.05,58
2024-02-21,Retargeting Q3,Display,MEA,Service Y,154187,3861,8277.26,3812.76,38
2024-02-22,Holiday Push,TV,EMEA,Product C,176627,4612,8418.55,53179.96,326
2024-02-23,Holiday Push,TV,APAC,Product B,140122,6052,14269.3,31808.15,111
2024-02-24,Summer Sale,YouTube,LATAM,Service Y,57200,993,634.17,18542.2,97
2024-02-25,Summer Sale,Display,EMEA,Service X,55970,2569,4243.82,7235.76,118
2024-02-26,Holiday Push,Display,EMEA,Service X,62367,1172,3954.21,2248.04,66
2024-02-27,Retargeting Q3,Email,MEA,Service X,39954,2000,5005.47,36785.15,197
2024-02-28,Holiday Push,Display,APAC,Service Y,148621,4799,4690.9,61328.2,420
2024-02-29,Brand Awareness,Instagram,APAC,Service Y,132034,5457,7223.93,9200.36,92
2024-03-01,Summer Sale,YouTube,LATAM,Product C,26122,441,526.46,6751.72,31
2024-03-02,Launch 2025,TV,EMEA,Service Y,147242,4902,3366.68,53686.26,416
2024-03-03,Retargeting Q3,Email,MEA,Service Y,104714,3544,11795.23,16795.51,130
2024-03-04,Retargeting Q3,TV,US,Service X,62812,2161,2849.94,14950.08,116
2024-03-05,Summer Sale,Google Ads,LATAM,Product B,38456,2270,4772.38,38446.11,207
2024-03-06,Brand Awareness,Display,LATAM,Product C,126031,2405,3079.53,13847.69,94
2024-03-07,Brand Awareness,Facebook,EMEA,Product A,115510,2612,1947.82,5131.12,30
2024-03-08,Holiday Push,YouTube,EMEA,Service Y,13134,754,827.95,501.34,8
2024-03-09,Summer Sale,Display,US,Product C,62138,2066,2621.2,16878.85,89
2024-03-10,Retargeting Q3,YouTube,US,Product A,33337,1297,4262.8,21939.79,80
2024-03-11,Launch 2025,Display,EMEA,Service Y,160214,7134,16991.24,32136.07,136
2024-03-12,Brand Awareness,Google Ads,LATAM,Service X,15766,431,769.39,2910.04,18
2024-03-13,Holiday Push,YouTube,US,Service Y,32666,1034,1640.51,13831.61,93
2024-03-14,Retargeting Q3,Display,MEA,Product C,175513,4125,12063.97,37446.41,241
2024-03-15,Holiday Push,Display,LATAM,Service Y,89490,4705,14078.27,22149.11,83
2024-03-16,Retargeting Q3,Facebook,APAC,Product C,164994,7162,10808.82,43291.55,390
2024-03-17,Launch 2025,Facebook,EMEA,Product B,94217,2259,5169.64,35299.92,201
2024-03-18,Retargeting Q3,YouTube,EMEA,Product A,193763,5875,12722.48,28361.62,185
2024-03-19,Retargeting Q3,Email,MEA,Product C,82132,1731,4457.95,11884.31,65
2024-03-20,Brand Awareness,Instagram,US,Product A,116543,6972,14997.93,42644.12,290
2024-03-21,Holiday Push,Facebook,US,Service X,194080,3809,3270.65,51584.29,221
2024-03-22,Summer Sale,Display,US,Product C,77482,3581,12282.19,20244.89,204
2024-03-23,Summer Sale,Google Ads,MEA,Product C,64633,1812,2549.13,7373.95,133
2024-03-24,Summer Sale,Email,APAC,Service X,187823,10744,25931.81,40684.99,835
2024-03-25,Retargeting Q3,Google Ads,EMEA,Service X,130492,4178,4399.81,17293.37,61
2024-03-26,Launch 2025,Instagram,EMEA,Product B,133908,1835,4382.6,1667.93,27
2024-03-27,Launch 2025,YouTube,LATAM,Service X,36051,1366,2388.48,16611.51,86
2024-03-28,Launch 2025,TV,EMEA,Product B,82949,4396,15254.53,31797.57,164
2024-03-29,Summer Sale,Facebook,EMEA,Service X,168975,3472,8615.02,5699.43,83
2024-03-30,Brand Awareness,TV,LATAM,Product A,123096,5473,10451.99,7046.86,70
2024-03-31,Holiday Push,YouTube,EMEA,Service Y,185193,4013,5191.47,60170.85,325
2024-04-01,Holiday Push,Display,APAC,Service Y,63932,2709,8737.16,9118.8,228
2024-04-02,Retargeting Q3,Instagram,MEA,Service Y,154214,8645,15711.94,47420.64,451
2024-04-03,Launch 2025,Instagram,EMEA,Product A,134445,4287,9834.85,87108.43,386
2024-04-04,Brand Awareness,Email,EMEA,Product B,65011,3776,11357.74,66689.3,233
2024-04-05,Retargeting Q3,TV,LATAM,Product A,128338,4613,8426.51,48162.3,161
2024-04-06,Brand Awareness,YouTube,LATAM,Product C,128210,3512,5267.74,64000.66,246
2024-04-07,Brand Awareness,Instagram,APAC,Product A,178692,10231,30086.28,89589.56,608
2024-04-08,Retargeting Q3,YouTube,EMEA,Product B,110952,5907,17572.03,15541.95,59
2024-04-09,Holiday Push,Instagram,MEA,Product B,140905,3957,10958.24,60992.91,262
2024-04-10,Launch 2025,Display,US,Product B,80505,2568,6663.32,15501.5,53
2024-04-11,Summer Sale,YouTube,EMEA,Product B,86461,3245,6998.67,17572.09,59
2024-04-12,Retargeting Q3,YouTube,US,Service X,135646,7681,10565.87,76894.23,564
2024-04-13,Holiday Push,Display,EMEA,Product C,149510,2576,2761.04,37549.75,164
2024-04-14,Brand Awareness,Display,MEA,Service Y,113774,3071,8792.74,2154.7,104
2024-04-15,Launch 2025,Display,MEA,Service X,177999,6137,5804.29,41755.22,358
2024-04-16,Retargeting Q3,Facebook,LATAM,Product A,124365,7044,21898.42,60110.96,692
2024-04-17,Holiday Push,YouTube,EMEA,Product B,88408,4175,10920.48,44323.31,346
2024-04-18,Summer Sale,Email,LATAM,Product A,136672,7963,11912.52,38748.27,151
2024-04-19,Brand Awareness,Instagram,MEA,Service X,194384,3344,10409.2,13309.37,325
2024-04-20,Brand Awareness,TV,LATAM,Service Y,175350,2457,3650.36,29308.66,173
2024-04-21,Holiday Push,TV,EMEA,Service X,14410,588,708.13,4219.58,42
2024-04-22,Brand Awareness,Google Ads,EMEA,Product C,30806,1479,3862.66,1864.3,28
2024-04-23,Launch 2025,TV,US,Product B,19711,486,789.52,1855.99,11
2024-04-24,Launch 2025,Facebook,US,Service X,50893,709,2206.78,4021.89,46
2024-04-25,Brand Awareness,TV,MEA,Product B,172222,3909,4948.72,10302.48,42
2024-04-26,Retargeting Q3,TV,APAC,Service X,24362,781,1200.16,9746.24,49
2024-04-27,Launch 2025,Instagram,MEA,Product C,84199,1680,2778.85,7691.17,89
2024-04-28,Launch 2025,Display,EMEA,Service Y,188311,4662,16008.53,31187.15,322
2024-04-29,Brand Awareness,Facebook,US,Service Y,135214,6982,22403.87,47029.26,557
